city_id,region_id,name_ar,name_en
1,7,تبوك,Tabuk
2,7,نعمي,Na'mi
3,1,الرياض,Riyadh
4,7,حميط,Humayt
5,2,الطائف,At Taif
6,2,مكة المكرمة,Makkah Al Mukarramah
7,7,رجم الطيارة,Rajm At Tayarah
8,7,الثميد,Ath Thumayd
9,7,عسيلة,'asillah
10,8,حائل,Hail
11,4,بريدة,Buraydah
12,5,الهفوف,Al Hufuf
13,5,الدمام,Dammam
14,3,المدينة المنورة,Al Madinah Al Munawwarah
15,6,ابها,Abha
16,7,حالة عمار,Halat Ammar
17,10,جازان,Jazan
18,2,جدة,Jeddah
19,7,الشايب,Ash Shayib
20,7,الفوهة,Al Fawhah
21,7,اللوز,Al Lawz
22,7,عين الأخضر,'ayn Al Akhdar
23,7,ذات الحاج,Dhat Al Hajj
24,1,المجمعة,Al Majma'ah
25,7,قيال,Qiyal
26,7,الاخضر,Al Akhdar
27,7,البديعة,Al Badi'ah
28,7,مغيرة,Mughayrah
29,7,الهوجاء,Al Hawja'
30,7,البديع,Al Badi'
31,5,الخبر,Al Khobar
32,7,ابار قنا,Abar Qana
33,7,الجبعاوية,Al Jab'awiyah
34,7,الحميضة,Al Humaydah
35,7,البيانة,Al Bayyanah
36,7,حقل,Haql
37,7,الدرة,Ad Durrah
38,7,الزيتة,Az Zaytah
39,7,علقان,'alaqan
40,7,الوادي الجديد,Al Wadi Al Jadid
41,7,مليح,Mulayh
42,7,ابو الحنشان,Abu Al Hinshan
43,7,مقنا,Maqna
44,5,ابو قعر,Abu Qa'ar
45,5,مركز العوجاء,Markaz Al 'awja
46,5,مركز العليمة,Markaz Al 'ulayyimah
47,5,حفر الباطن,Hafar Al Batin
48,5,القلت,Al Qalt
49,5,النظيم,An Nadhim
50,5,ابن طوالة,Ibn Tuwalah
51,5,الصداوي,As Sidawi
52,5,ام قليب,Umm Qulaib
53,5,عريفج,Urayfij
54,5,ابن شرار,Ibn Sharar
55,5,القيصومة,Al Qaysumah
56,5,الرقعي الجديدة,Ar Ruq'i Al Jadidah
57,5,ذبحة,Dhabhah
58,5,الصفيري,As Sufairy
59,5,الوايلية,Al Wayliyah
60,5,الفيوان,Al Fiwan
61,5,الحماطيات,Al Hamatiyat
62,6,خميس مشيط,Khamis Mushayt
63,5,الجبو,Al Jabu
64,5,المسناة,Al Masnah
65,6,احد رفيده,Ahad Rifaydah
66,5,ام عشر الشرقية,Umm Ishar Ash Sharqiyyah
67,5,القطيف,Al Qatif
68,7,بوهان,Buhan
69,7,السنانيات,As Sananiyat
70,7,حزايا,Hazaya
71,7,أكباد,Akbad
72,7,بئر الحيز,Bir Al Hayz
